Problem size:
            NP: 100000

                  num Nodes   CPU tot  Wall tot
===============================================
mainTimer...........      1      1.25     1.281

                  num Nodes   CPU max  Wall max   CPU min  Wall min   CPU avg  Wall avg
=======================================================================================
mainTimer...........      1      1.25     1.281      1.25     1.281      1.25     1.281
Binaryrepart........      1         0         0         0         0         0         0
Boundingbox.........      1         0  0.002911         0  0.002911         0  0.002911
Boundingbox-bounds..      1         0 0.0001322         0 0.0001322         0 0.0001322
Boundingbox-update..      1         0 0.0001579         0 0.0001579         0 0.0001579
Compute Statistics..      1      0.26    0.3607      0.26    0.3607      0.26    0.3607
Create Distr........      1      0.22    0.2293      0.22    0.2293      0.22    0.2293
External field eval.      1      0.26    0.2317      0.26    0.2317      0.26    0.2317
Fast inside test....      1         0         0         0         0         0         0
Histogram...........      1         0         0         0         0         0         0
Initialize geometry.      1         0         0         0         0         0         0
Inside test.........      1         0         0         0         0         0         0
Load Distr..........      1         0         0         0         0         0         0
Particle Inside.....      1         0         0         0         0         0         0
Ray tracing.........      1         0         0         0         0         0         0
SelfField total.....      1         0         0         0         0         0         0
TIntegration1.......      1       0.1   0.05759       0.1   0.05759       0.1   0.05759
TIntegration2.......      1      0.25    0.1476      0.25    0.1476      0.25    0.1476
WakeField...........      1         0         0         0         0         0         0
Write H5-File.......      1         0  0.005938         0  0.005938         0  0.005938
Write Stat..........      1      0.01   0.02445      0.01   0.02445      0.01   0.02445
