1000
x px y py z pz
5.2581548388e-04 -9.9942005638e-07 1.3287074130e-04 -1.7668218516e-07 2.4698532271e-04 1.9775383985e-03
8.0960620039e-05 1.2144572685e-07 1.4349148149e-03 7.4699344679e-07 1.5760739471e-04 1.9783240253e-03
6.0271443395e-05 -3.9257683870e-07 -1.7861554992e-03 1.3058059017e-06 1.6955360359e-03 1.9795735449e-03
-6.2540943251e-04 1.4515579591e-07 3.5754927475e-04 4.6350995581e-07 1.5090425289e-04 1.9774603027e-03
-3.0106240708e-04 -1.4237263811e-06 -4.3246950417e-04 -2.9183151442e-07 1.8164754762e-03 1.9795952126e-03
-4.4818005356e-04 -2.6829897634e-07 -7.7540462978e-04 4.1918433020e-07 -9.1822602062e-04 1.9778924656e-03
-4.5002269302e-04 1.6494733173e-06 1.8534363276e-03 -2.4490700677e-06 -2.6848823484e-04 1.9790077337e-03
-2.9184505460e-04 -9.3286224938e-07 -8.5260337967e-04 1.9636386274e-07 9.6034605185e-04 1.9788329847e-03
1.1946341061e-03 6.2389409356e-07 2.2621553982e-03 -2.4712566584e-06 7.2002766491e-04 1.9788178361e-03
-5.5887062997e-04 -3.4332411480e-09 7.6509166789e-04 1.9005984208e-06 -7.7528170871e-05 1.9793207738e-03
1.1743997987e-03 -6.4422361139e-07 7.5488468769e-04 5.9644460322e-07 -6.6932190626e-05 1.9788565517e-03
1.2084522980e-03 -1.4993468394e-06 -5.2487863443e-04 -1.8462276627e-06 1.6143441914e-04 1.9781897325e-03
5.8781327596e-04 -1.5127043292e-06 2.1062447295e-04 -9.1764720135e-08 5.6438291328e-04 1.9780062568e-03
5.9006763946e-04 -7.7251514245e-07 -6.7232371172e-04 1.0209022140e-06 2.0549106846e-05 1.9773339090e-03
-1.2141637932e-03 -6.7426499450e-07 -4.2926798131e-04 -1.2180666456e-06 -1.9710502661e-03 1.9779230276e-03
-8.4666130674e-04 9.0486777335e-07 -7.2832328525e-05 2.3038408705e-07 -4.6262201563e-04 1.9796881966e-03
-3.3714659840e-04 -6.2235437422e-08 3.0341599352e-04 -7.2393644598e-07 -7.9479109461e-04 1.9785295667e-03
