32768
x px y py z pz
5.1113757448e-04 2.0105082171e-04 -1.1527604601e-03 -4.5941578943e-04 2.6544132275e-04 2.0801011771e-03
6.5042885610e-05 3.8152120460e-05 -2.5108707585e-04 -1.5361252100e-04 -4.3863353721e-04 1.7224060906e-03
4.4281698121e-05 2.2627803647e-05 -2.7944400266e-04 -1.8011057924e-04 -1.3259257520e-04 1.9054337588e-03
-6.4253440929e-04 -1.2285916826e-04 1.8239924330e-03 3.2858327534e-04 -8.6281488603e-04 1.8116827893e-03
-3.1818228723e-04 -1.3060778096e-04 9.0673024001e-04 4.0471665005e-04 6.7079867987e-04 2.2659706070e-03
-4.6623992930e-04 -2.4502531100e-04 6.5761395433e-04 3.3610615304e-04 -2.1353384633e-04 1.8663055264e-03
-4.6823728059e-04 -2.6389878743e-04 -9.5691883767e-05 -7.4304560472e-05 1.5200658922e-04 2.0680823134e-03
-3.0930908592e-04 -1.7282317911e-04 -3.2654187242e-04 -1.9651752511e-04 -5.0720084830e-04 1.6632141566e-03
1.1815344945e-03 4.1337876593e-04 7.6711859712e-04 2.8408334047e-04 1.0054015575e-04 2.0129424923e-03
-5.7703541097e-04 -2.6116600342e-04 5.8507422305e-04 2.7542186663e-04 7.3383734405e-04 2.2975206850e-03
1.1591568711e-03 1.2736946296e-04 -2.3733574337e-03 -2.0017434252e-04 -3.7005614722e-04 1.9369927593e-03
1.1954313037e-03 4.2139730575e-04 -5.8379982334e-04 -2.3615630001e-04 1.8190741769e-04 2.0548341357e-03
5.7239334671e-04 1.0000985218e-04 -1.9126654574e-03 -2.7450747986e-04 1.1125386702e-03 2.1548071109e-03
5.7478615361e-04 1.2169114099e-04 1.6522573588e-03 3.4537584066e-04 -9.2923287385e-04 1.7736155175e-03
-1.2330280425e-03 -3.4981724354e-04 -1.0076189674e-03 -2.8592226390e-04 4.4691620603e-04 2.1106803673e-03
-8.6459339314e-04 -2.2707814231e-04 1.4687105483e-03 3.8919336408e-04 4.4857530401e-04 2.1060596544e-03
-3.5434607613e-04 -1.3020739328e-04 2.2681982110e-04 6.7860860071e-05 -1.3219326048e-03 1.5016641694e-03
-2.4072166509e-04 -1.2466826638e-04 1.8915077044e-04 8.3189648303e-05 7.1895174031e-04 2.3429934755e-03
1.8881341026e-03 3.2381630623e-04 7.6934682837e-04 1.4756635829e-04 5.8925041838e-04 2.0839639275e-03
-4.7160182296e-04 -1.9619280320e-04 3.5666036584e-04 1.4479352807e-04 -1.0486379091e-03 1.5482806347e-03
-7.6987708867e-04 -4.0996396854e-04 -2.8383227429e-04 -1.5498870028e-04 2.8613076052e-04 2.1138115910e-03
-8.5736654944e-04 -3.2773235190e-04 -4.1605895338e-05 -6.6734356418e-06 -1.0451941533e-03 1.5763588539e-03
5.1903774667e-04 2.3111693364e-04 -9.8727099742e-04 -4.3733968691e-04 3.6309274838e-05 1.9880853653e-03
-8.3649789847e-04 -3.9573845473e-04 -4.3401922438e-04 -2.0431005694e-04 -4.2764799409e-04 1.7816214431e-03
4.5317297775e-04 1.1637337394e-04 1.7331215809e-03 4.1988248236e-04 -2.1245199505e-04 1.9336016922e-03
2.0156924605e-05 3.4520508756e-05 6.0184520694e-05 2.9731914277e-05 3.5385045553e-04 2.1947175234e-03
-2.0475804208e-04 -6.6640128498e-05 -6.1881728408e-04 -2.0392588602e-04 1.3981285070e-03 2.4098844325e-03
1.2507446743e-03 1.5459940512e-04 7.2145867857e-04 9.0412614638e-05 2.1263115595e-03 2.1927911696e-03
3.4961765180e-04 1.0693098601e-04 1.4576702706e-03 4.5866809423e-04 -3.2379767261e-04 1.8754810258e-03
-2.2888882283e-04 -1.1518418464e-04 4.7420340557e-04 2.5456047229e-04 -5.3117035608e-04 1.6783022355e-03
-1.5306267621e-03 -2.7905952066e-04 1.4115214397e-03 2.6402745817e-04 -2.0603474055e-04 1.9328470082e-03
-6.9878648022e-04 -2.2428257942e-04 5.2298388812e-04 1.6520414705e-04 -1.3801424553e-03 1.5785919730e-03
-2.6119011883e-04 -1.2351102069e-04 9.2725877619e-04 4.7045055067e-04 -1.7086534152e-04 1.8934965289e-03
8.9957631165e-04 3.7960792777e-04 2.7028730620e-04 1.2428077526e-04 -7.4940388813e-04 1.6660315767e-03
7.7319117707e-04 1.7753485167e-04 -1.3060785673e-03 -2.9201737090e-04 -1.1548715307e-03 1.7210571859e-03
1.1674985932e-03 3.1453793266e-04 -2.8359235503e-04 -8.2209316014e-05 1.2570241328e-03 2.3079493437e-03
-1.1604470440e-04 -3.8083689440e-05 -2.6202637643e-04 -1.2861943190e-04 8.0482714796e-04 2.3703921191e-03
3.8578047563e-04 1.9463903459e-04 2.9930108323e-04 1.7071916507e-04 -7.5602118446e-04 1.5916963327e-03
-9.3302804655e-04 -1.5386382991e-04 1.7954480383e-03 2.6807566240e-04 1.0738121105e-03 2.1508544415e-03
-7.1622764928e-04 -3.3102025686e-04 6.2635603237e-04 2.8289220804e-04 6.1342853213e-04 2.2499133242e-03
7.5485277686e-04 3.6661870404e-04 -2.7087166393e-04 -1.4417112374e-04 3.5244509706e-04 2.1542338824e-03
-1.1297396601e-04 -3.1983745041e-05 -1.6929969264e-03 -4.2471686967e-04 4.2887538630e-04 2.0850990562e-03
1.9568536714e-03 3.1616065894e-04 8.9431022432e-04 1.7127385107e-04 -3.0210243160e-04 1.9196155508e-03
9.7880346167e-04 4.2005336416e-04 6.3956553965e-04 2.7302766738e-04 -2.2474780584e-04 1.8776885810e-03
-5.7138654546e-04 -1.3810408648e-04 -1.5327278072e-03 -3.6088617566e-04 8.5620320722e-04 2.1808422734e-03
2.0145776183e-03 1.6295588129e-04 -8.0606514856e-04 -7.6029026859e-05 1.7677913726e-03 2.1280485734e-03
8.5876354954e-04 2.0415227941e-04 5.9937318564e-04 1.4462088233e-04 1.5846485081e-03 2.3385594492e-03
1.2155236617e-04 8.2670695494e-05 4.3784935568e-04 2.2605438581e-04 4.7835980298e-04 2.2315397325e-03
8.8433966613e-05 5.9186654018e-05 -3.7808354305e-04 -2.0194317662e-04 7.9462023727e-04 2.3588448525e-03
-5.1872310261e-04 -1.2964995039e-04 -9.2118704693e-04 -2.1040078698e-04 1.6244881556e-03 2.3309227755e-03
9.8664662575e-04 4.0477352554e-04 -5.7497330219e-04 -2.6531189636e-04 8.9443540692e-05 2.0286992566e-03
-6.4283789816e-04 -3.0973533788e-04 5.6176046963e-04 2.6855770240e-04 -4.3057632407e-04 1.7706352801e-03
1.0158003887e-04 3.9667495002e-05 1.1351404174e-03 4.6649556743e-04 -4.8305621070e-04 1.7819832483e-03
6.0961366727e-04 1.6281691010e-04 -1.3404542293e-03 -3.4542553612e-04 1.0147710698e-03 2.2321672137e-03
1.0658698001e-03 1.4180090263e-04 1.9436614983e-03 2.2940335401e-04 -1.0767097913e-03 1.8326214194e-03
6.7408708935e-04 3.0787478738e-04 -6.4615871795e-04 -2.8507305229e-04 4.9593659035e-04 2.1815207891e-03
5.5606063237e-04 1.9707934278e-04 -8.7692738104e-04 -3.2225364967e-04 -9.6553059005e-04 1.6404099506e-03
-1.8605970195e-04 -8.6289281329e-05 9.8047355306e-04 4.6548880268e-04 3.4043008727e-04 2.1324449168e-03
