4096
x px y py z pz
7.5879869303e-04 1.5198962419e-02 2.9011620164e-04 5.8550597562e-03 -4.1416310959e-02 2.0513314736e-01
1.3674518408e-04 3.1298505133e-03 -8.9535660511e-04 -1.4743010236e-02 -6.7621961228e-02 2.0312456205e-01
6.9197039339e-05 -6.3452611905e-05 -5.3974676356e-04 -7.0830945181e-03 9.1604990108e-02 2.0378445039e-01
-7.1059761730e-04 -6.4735533903e-03 -8.8628950025e-05 -6.3530102334e-04 -1.3999529240e-01 2.0799882015e-01
-3.7298459599e-04 -5.5688751725e-03 4.1099334198e-04 7.7636151194e-03 -6.5882481293e-02 2.0332115982e-01
-4.4325157079e-04 -3.3078865035e-04 -2.5952260872e-03 -2.6428020412e-03 -1.8966768697e-01 1.9694869217e-01
-6.0591830210e-04 -1.1262420913e-02 -1.6117544719e-04 -2.9404528612e-03 7.0016630411e-03 1.9538315216e-01
-3.7828682163e-04 -6.5375873779e-03 1.1746806022e-04 1.5940114721e-03 9.7851141377e-02 1.8895780115e-01
1.4474048314e-03 1.6515683108e-02 1.2614241636e-03 1.4955319993e-02 -5.7195655755e-03 1.9450448801e-01
-6.1449508625e-04 -4.4632677143e-03 2.1740596490e-03 1.8394793150e-02 2.9180053908e-02 2.1222185578e-01
1.4023794116e-03 1.4846199159e-02 1.3351745846e-03 1.3950590666e-02 -5.7858183729e-02 2.0032326653e-01
1.4502099237e-03 1.5835780242e-02 -1.3359251899e-03 -1.4513491184e-02 -1.1204444333e-02 2.1704948039e-01
7.1205523716e-04 7.7767490170e-03 8.7054922609e-05 7.9181016421e-04 -1.2114938262e-01 1.9581644563e-01
6.7826266729e-04 5.3308895920e-03 1.7561726430e-04 2.8235193108e-03 -1.4569274767e-01 1.9888115128e-01
-1.4083333244e-03 -1.3851337595e-02 -1.0891048540e-03 -1.1428799796e-02 6.6992060582e-02 1.9003907877e-01
-1.0834297566e-03 -1.6807419921e-02 -2.6716606181e-04 -4.8751431908e-03 4.1649027877e-02 2.0934581550e-01
1.6978384413e-03 2.3357322203e-02 -3.4790370318e-04 -5.3575658740e-03 -3.7188492133e-02 1.9262886236e-01
-1.2015233464e-03 -8.4742495119e-03 2.0576186207e-03 1.5021696444e-02 -5.4417404142e-02 1.9923603637e-01
1.0737946408e-04 1.8706716147e-03 1.8748372515e-03 2.1525487511e-02 -6.5170526328e-02 2.0793437661e-01
-7.6592642022e-04 -2.6596563850e-03 -8.4466464045e-04 -2.3159316565e-03 -1.9645183476e-01 1.8896385154e-01
-1.6750865428e-03 -8.7444459129e-03 1.3283427103e-03 6.2868560965e-03 1.0928334680e-01 2.1817409702e-01
1.7584447896e-03 1.8839435571e-02 3.9752061092e-04 5.2673351913e-03 4.9974940237e-02 2.1275899162e-01
-1.3396090207e-03 -1.9436076235e-02 -6.6490994043e-04 -9.9121295896e-03 -3.6793014259e-02 1.9272298596e-01
-2.3695890881e-03 -1.6998301552e-02 -2.1467734412e-04 -1.1993194417e-03 -7.4873109624e-02 2.1117841928e-01
1.4890692720e-03 3.7934656982e-03 3.8286126752e-04 -1.0161172683e-04 -2.0179770541e-01 2.0148815035e-01
-9.3816017841e-04 -1.5078101522e-02 6.5421172278e-04 1.2313318590e-02 -4.8230208820e-02 1.9056288778e-01
7.2475267263e-04 1.0219288369e-02 1.1865578450e-03 1.7339076168e-02 4.0526316127e-02 1.8122596481e-01
1.2103424141e-04 1.4224294007e-03 2.2074306665e-03 1.8059028919e-02 4.3292653341e-02 2.0844150756e-01
-3.0763644524e-03 -9.6620592535e-03 5.3696014583e-04 1.1941131437e-03 5.1148620570e-02 2.1762551785e-01
1.9974541212e-03 6.1534332880e-03 -3.1689392306e-04 -5.4903730466e-04 1.6296273737e-01 1.9329827190e-01
1.7958767246e-03 2.1832194864e-02 1.6154525879e-04 2.5224307276e-03 -1.9183204386e-02 1.9539695319e-01
