1000
x px y py z pz
5.6904044667e-04 6.6351902872e-01 4.1072588662e-04 6.4846778203e-01 9.7367358193e-07 1.9709318652e+03
1.2126572321e-04 2.7529410431e-02 -1.8356656597e-03 -6.6326248978e-01 -8.0363713563e-06 1.9519895277e+03
1.0089852784e-04 8.8065077839e-02 -1.4362924185e-03 -8.3668958095e-01 8.0867757890e-06 1.9580799618e+03
-5.8572056067e-04 -1.0634150047e-01 1.9705982418e-03 5.6451267581e-01 -1.1460991455e-05 1.9563902775e+03
1.3894692856e-03 1.0762713542e+00 3.7261594039e-04 4.2851419876e-01 -9.0373187750e-06 1.9484993240e+03
-1.0518909974e-03 -1.1423666347e+00 -1.9784122245e-04 -2.3431090198e-01 -1.0802713855e-05 1.9413786288e+03
1.1124117383e-04 2.0155692954e-01 9.4422804610e-05 8.5486545890e-02 -1.3898925790e-05 1.9203224967e+03
-6.9923898956e-04 -6.2406139982e-01 -8.2930894817e-04 -7.7316654279e-01 -1.3606812209e-06 1.9684159394e+03
5.8271658986e-05 1.2055154049e-01 -2.1390295192e-04 -4.3056032250e-01 1.1562310247e-05 1.9800204611e+03
1.2449090306e-04 3.1787531345e-01 -4.8268852330e-04 -8.7720487090e-01 -1.0917797695e-05 1.9276631779e+03
-4.2790228161e-04 -5.6720726978e-01 -2.0191479382e-04 -1.9188843723e-01 2.1804650348e-05 2.0003589589e+03
2.0058907578e-04 2.7527423925e-01 -9.9171649704e-04 -9.1526083139e-01 4.9186357745e-06 1.9543971438e+03
7.6948506277e-04 8.7722454911e-01 8.9060478227e-05 5.5183533943e-02 -2.9944668283e-06 1.9755282648e+03
3.9312592730e-04 5.1220792550e-01 5.4839103441e-04 8.2948273766e-01 8.6786242935e-07 1.9733335429e+03
-2.1280405688e-04 -1.9101887737e-01 -9.1677006456e-04 -9.5242950987e-01 -1.2606377435e-05 1.9306992929e+03
8.5654968338e-04 1.5644110972e-01 2.1576660318e-03 2.5345580865e-01 7.3388376517e-06 1.9568020435e+03
-1.3316706406e-04 -3.3011571784e-01 5.6358653163e-04 7.8821505860e-01 -2.5679832367e-06 1.9730938707e+03
-9.5579904623e-04 -1.0509513856e+00 -1.5567389384e-05 -4.6710512800e-02 2.6252040830e-06 1.9570595961e+03
-2.7109021121e-04 -5.0502597411e-01 2.1703484653e-04 3.7138081808e-01 -4.0337270881e-07 1.9637344324e+03
-2.9229412984e-04 -3.1254543611e-01 -8.1333528888e-04 -8.4059736179e-01 1.2682859091e-05 1.9794407387e+03
-1.6919534033e-03 -8.5479234903e-01 -3.0408671649e-04 -2.0260972238e-01 -3.1282302322e-06 1.9627542696e+03
-7.0420879744e-04 -2.3701929041e-01 -2.0140230764e-03 -4.6374616143e-01 1.1162550431e-06 1.9563132567e+03
1.2055232381e-04 1.7195839218e-01 8.8213810994e-04 1.0380338070e+00 -8.8217970249e-06 1.9424493148e+03
4.8929518447e-04 5.7563913496e-01 9.7669158015e-04 1.0037034399e+00 -1.3016793333e-05 1.9347349521e+03
-1.4710523570e-05 3.0306372957e-02 -1.3978584467e-04 -3.2441272597e-01 8.3702809867e-06 1.9677477898e+03
2.4408463345e-04 2.1706513999e-01 1.8433838803e-03 7.0640968936e-01 -7.7720430419e-06 1.9539581185e+03
-2.2006801115e-04 -3.8304404843e-01 -4.3340573288e-04 -8.0334440614e-01 -1.1218232947e-05 1.9305829032e+03
5.6009858734e-04 6.8448650112e-01 5.9169604425e-04 8.3517236332e-01 -1.1038572671e-05 1.9220364262e+03
