# x px y py z pz
2.0663905702e-02 2.5547421222e+00 8.3578345500e-03 -1.0400450956e+00 -2.5881307674e-02 1.9579489852e+03
-1.3447205656e-03 -1.7959818918e-01 6.7741862443e-03 -9.0859064329e-01 -2.2792121347e-02 1.9579507091e+03
2.1725561014e-02 2.9080875959e+00 9.1271261324e-03 -1.2285662408e+00 -2.2583893502e-02 1.9579483831e+03
8.1976652877e-03 1.0288431766e+00 1.0671081393e-02 -1.3518908026e+00 -2.5100085491e-02 1.9579501912e+03
-6.0495064213e-03 -7.9715586509e-01 1.1780936067e-03 -1.5556040686e-01 -2.3509269423e-02 1.9579507597e+03
-5.1538297898e-03 -6.7618510282e-01 -1.0844959418e-03 1.4257879426e-01 -2.3695735581e-02 1.9579508062e+03
-3.5997189394e-03 -4.1954674813e-01 4.0553866721e-03 -4.7418673320e-01 -2.8474312347e-02 1.9579508258e+03
6.3396846535e-03 7.3192615097e-01 5.9619841437e-04 -6.8954067498e-02 -2.8932625291e-02 1.9579507902e+03
-8.5732344311e-03 -1.0683747389e+00 -2.0555135333e-03 2.5670248821e-01 -2.5840856375e-02 1.9579506199e+03
-5.3654578176e-03 -7.0401748494e-01 5.6667495871e-03 -7.4630279424e-01 -2.3586287744e-02 1.9579506594e+03
-1.2363923343e-02 -1.8781434978e+00 2.5287651026e-02 -3.8750363409e+00 -1.6608072556e-02 1.9579461928e+03
-2.4024032548e-03 -3.4138490275e-01 -6.5942170101e-03 9.4029930511e-01 -2.0101551319e-02 1.9579506726e+03
8.3798923130e-03 1.3042922545e+00 9.8598009410e-03 -1.5388221815e+00 -1.5863334889e-02 1.9579498891e+03
1.5847857670e-04 2.4526233990e-02 -1.8082721218e-03 2.8051912465e-01 -1.6172523901e-02 1.9579509079e+03
1.3836433398e-03 1.9115945674e-01 8.1153878272e-03 -1.1263692472e+00 -2.1286428398e-02 1.9579505949e+03
2.2390523217e-02 3.0577802295e+00 -4.6306883757e-03 6.3402777841e-01 -2.1905090359e-02 1.9579484378e+03
5.8161503042e-03 7.9077507534e-01 5.7458487333e-03 -7.8392706700e-01 -2.2065553465e-02 1.9579506116e+03
-5.9121857960e-03 -8.9263200301e-01 4.3029660982e-03 -6.5130687436e-01 -1.7351958672e-02 1.9579506164e+03
6.2569434826e-03 9.6897730313e-01 1.3196987608e-02 -2.0504680647e+00 -1.6069216139e-02 1.9579496147e+03
-1.5336012443e-03 -2.3505449257e-01 5.0445857266e-03 -7.7516319860e-01 -1.6629329648e-02 1.9579507606e+03
-6.6344692602e-03 -1.0170384963e+00 7.8338486446e-03 -1.2042905054e+00 -1.6598971505e-02 1.9579502937e+03
