1000
x px y py z pz
5.6615020973e-03 1.7965530800e-01 4.0766770075e-03 -1.2942725786e-01 9.7465453329e-04 1.9579509157e+03
1.2116831244e-03 3.8450096288e-02 -1.8321643600e-02 5.8167964772e-01 -8.0358447588e-03 1.9579508414e+03
1.0051844998e-03 3.1897317342e-02 -1.4321012899e-02 4.5466673140e-01 8.0876053933e-03 1.9579508751e+03
-5.8537390134e-03 -1.8575551886e-01 1.9675248829e-02 -6.2465420645e-01 -1.1460602716e-02 1.9579508197e+03
1.3848379377e-02 4.3944783450e-01 3.7054795946e-03 -1.1764239775e-01 -9.0357182789e-03 1.9579508753e+03
-1.0468531155e-02 -3.3219579338e-01 -1.9670793259e-03 6.2451276267e-02 -1.0801071412e-02 1.9579508990e+03
1.1032398868e-03 3.5008889667e-02 9.3999582931e-04 -2.9843198941e-02 -1.3898820922e-02 1.9579509276e+03
-6.9655685294e-03 -2.2103698496e-01 -8.2557565759e-03 2.6210561406e-01 -1.3595481127e-03 1.9579508982e+03
5.7738109139e-04 1.8321918163e-02 -2.1189573718e-03 6.7273135063e-02 1.1562513541e-02 1.9579509269e+03
1.2303770635e-03 3.9043308091e-02 -4.7847950837e-03 1.5190874993e-01 -1.0916707092e-02 1.9579509219e+03
-4.2545542838e-03 -1.3500891609e-01 -2.0100318992e-03 6.3814944597e-02 2.1805004034e-02 1.9579509225e+03
1.9937075064e-03 6.3265919314e-02 -9.8726467997e-03 3.1343900835e-01 4.9197152798e-03 1.9579509021e+03
7.6567742775e-03 2.4297087884e-01 8.8787671699e-04 -2.8188509539e-02 -2.9935975380e-03 1.9579509129e+03
3.9088642890e-03 1.2403920477e-01 5.4447819778e-03 -1.7286216197e-01 8.6894165430e-04 1.9579509166e+03
-2.1196571813e-03 -6.7262655074e-02 -9.1211167198e-03 2.8957926282e-01 -1.2605205912e-02 1.9579509056e+03
8.5603862656e-03 2.7164500785e-01 2.1559770856e-02 -6.8448442861e-01 7.3389421551e-03 1.9579507897e+03
-1.3169432505e-03 -4.1790295483e-02 5.5985760748e-03 -1.7774485167e-01 -2.5671577220e-03 1.9579509197e+03
-9.5120043067e-03 -3.0184251977e-01 -1.5349002907e-04 4.8730359260e-03 2.6265043230e-03 1.9579509049e+03
-2.6884254344e-03 -8.5311264096e-02 2.1528161873e-03 -6.8348092318e-02 -4.0292137238e-04 1.9579509251e+03
-2.9094472756e-03 -9.2324905395e-02 -8.0931924802e-03 2.5694449335e-01 1.2683756692e-02 1.9579509092e+03
-1.6884467461e-02 -5.3579140325e-01 -3.0308464207e-03 9.6223991786e-02 -3.1273357218e-03 1.9579508525e+03
-7.0329000182e-03 -2.2317359660e-01 -2.0114022061e-02 6.3858447594e-01 1.1165748165e-03 1.9579508113e+03
1.1978523594e-03 3.8011208058e-02 8.7711868829e-03 -2.7846961191e-01 -8.8204589324e-03 1.9579509080e+03
4.8673753025e-03 1.5445544134e-01 9.7178958584e-03 -3.0852594037e-01 -1.3015156903e-02 1.9579508978e+03
-1.4852649416e-04 -4.7131613975e-03 -1.3826948317e-03 4.3898106408e-02 8.3703926258e-03 1.9579509277e+03
2.4314458438e-03 7.7156580700e-02 1.8396852353e-02 -5.8406739178e-01 -7.7713956730e-03 1.9579508396e+03
-2.1833661175e-03 -6.9284318230e-02 -4.2955887733e-03 1.3637731802e-01 -1.1217243832e-02 1.9579509222e+03
5.5703099149e-03 1.7676152461e-01 5.8764519066e-03 -1.8656691564e-01 -1.1037109169e-02 1.9579509113e+03
-1.9245946408e-03 -6.1072775010e-02 -2.7337763105e-03 8.6792544927e-02 1.7096744041e-02 1.9579509253e+03
1.5768645607e-02 5.0038324448e-01 -1.7638528322e-02 5.5999194257e-01 5.2303448109e-03 1.9579507842e+03
-3.5571359717e-04 -1.1287788093e-02 -4.8530155674e-03 1.5407462919e-01 -2.0428491388e-04 1.9579509221e+03
-2.9689418080e-03 -9.4212833707e-02 4.5049585005e-03 -1.4302443513e-01 2.0757522415e-03 1.9579509207e+03
-2.6088486257e-03 -8.2786066858e-02 2.0942783953e-02 -6.6489619442e-01 -2.3980625298e-03 1.9579508135e+03
-4.0812072521e-03 -1.2950812953e-01 3.1206988498e-03 -9.9076648597e-02 -7.7515567629e-03 1.9579509214e+03
-4.0997708879e-03 -1.3009720569e-01 2.2274649672e-03 -7.0718058518e-02 1.4210519004e-02 1.9579509226e+03
-2.5163187767e-03 0.0000000000e+00 2.8193720799e-03 0.0000000000e+00 -1.6013531529e-02 1.9579509282e+03
-1.5170336624e-02 -4.8139723670e-01 2.2715663308e-03 -7.2118197513e-02 2.0398968396e-02 1.9579508677e+03
1.5126467498e-02 0.0000000000e+00 -2.8406753595e-03 0.0000000000e+00 -2.6690704571e-02 1.9579509282e+03
-1.0234830909e-02 -3.2477983066e-01 3.6739512774e-04 -1.1664143043e-02 1.3103692961e-02 1.9579509012e+03
-2.0904667210e-02 -6.6336358022e-01 1.0968101510e-02 -3.4821774016e-01 1.6811126286e-03 1.9579507848e+03
2.1942375596e-02 0.0000000000e+00 -6.7396758637e-03 0.0000000000e+00 -1.5129681907e-02 1.9579509282e+03
-2.3690767896e-02 -7.5177434614e-01 8.9424534773e-03 -2.8390701174e-01 -1.2781690225e-03 1.9579507633e+03
-1.8693459429e-02 -5.9319577313e-01 -1.1903822872e-02 3.7792523291e-01 -4.3858841064e-03 1.9579508019e+03
8.2352397064e-03 2.6132720540e-01 -5.1141756241e-03 1.6236599663e-01 1.8137800954e-03 1.9579509040e+03
1.3592599342e-02 4.3133121624e-01 9.3553337602e-03 -2.9701523444e-01 1.1938583186e-02 1.9579508582e+03
-1.5677946154e-02 -4.9750510734e-01 7.6957114789e-05 -2.4432517446e-03 1.8475481565e-02 1.9579508650e+03
1.3836859343e-03 4.3908227720e-02 -2.7837319392e-03 8.8378547469e-02 6.1389886228e-03 1.9579509257e+03
-2.8766508366e-03 0.0000000000e+00 -3.6749308434e-03 0.0000000000e+00 -1.7004264986e-02 1.9579509282e+03
1.9285111124e-02 6.1197054145e-01 -2.3725357888e-03 7.5323797815e-02 -1.8232578689e-03 1.9579508311e+03
6.2598596790e-03 1.9864286751e-01 -1.0607909438e-02 3.3678229065e-01 4.3127528231e-03 1.9579508891e+03
-4.9648424240e-03 -1.5754834675e-01 -3.4855707516e-03 1.1066068368e-01 -1.5619411083e-03 1.9579509187e+03
-6.6603006268e-03 -2.1134997941e-01 1.0760325587e-02 -3.4162123258e-01 2.0333557067e-03 1.9579508870e+03
-2.5592953626e-02 -8.1213600493e-01 1.7075137054e-02 -5.4210525681e-01 5.0302950491e-03 1.9579506847e+03
-1.7884298237e-02 -5.6751883074e-01 -1.3687892349e-03 4.3456627482e-02 -2.9387353998e-03 1.9579508455e+03
-2.3031204273e-03 -7.3084456689e-02 -1.4947265338e-02 4.7454913367e-01 8.9551163714e-03 1.9579508693e+03
-4.6075265249e-03 0.0000000000e+00 -1.8819434500e-03 0.0000000000e+00 -1.8537548002e-02 1.9579509282e+03
4.5519701930e-03 1.4444675502e-01 -6.1670464478e-03 1.9579277652e-01 -1.2827762987e-03 1.9579509131e+03
9.4061169773e-03 2.9848241784e-01 -5.6991086824e-03 1.8093658245e-01 -3.2118767640e-04 1.9579508971e+03
-8.7627962083e-03 -2.7806804931e-01 6.5587963180e-03 -2.0823013860e-01 -3.9384484076e-03 1.9579508974e+03
-1.3548718716e-02 -4.2993875669e-01 -1.5759849548e-02 5.0034723282e-01 3.9907148350e-04 1.9579508171e+03
4.6245562740e-03 0.0000000000e+00 2.2257206402e-03 0.0000000000e+00 -2.0097087583e-02 1.9579509282e+03
-3.3462451889e-03 0.0000000000e+00 -2.4996953975e-03 0.0000000000e+00 -2.7091347722e-02 1.9579509282e+03
-1.0894488239e-02 -3.4571259428e-01 -2.0376347212e-02 6.4691283017e-01 3.4600335318e-03 1.9579507908e+03
-1.2133393155e-02 -3.8502652334e-01 -2.4685551226e-03 7.8372242294e-02 -9.2309916001e-03 1.9579508888e+03
1.2351182827e-02 3.9193759764e-01 7.7710592312e-03 -2.4671733233e-01 4.8267311519e-03 1.9579508734e+03
-5.1882214438e-03 -1.6463678822e-01 4.0367628194e-03 -1.2816005329e-01 -3.1300914504e-03 1.9579509171e+03
1.2148793252e-02 3.8551520738e-01 1.2979246340e-02 -4.1206802261e-01 7.0631717764e-03 1.9579508469e+03
1.2489583604e-02 3.9632944016e-01 -1.0616310141e-02 3.3704899548e-01 -6.7907353971e-03 1.9579508591e+03
1.4636923543e-02 0.0000000000e+00 -1.0679551601e-02 0.0000000000e+00 -1.9100728677e-02 1.9579509282e+03
-6.8598259410e-03 -2.1768147727e-01 -5.3190626113e-03 1.6887079493e-01 -1.4860242691e-02 1.9579509088e+03
6.0456603632e-03 1.9184572518e-01 -4.2658132361e-04 1.3543199745e-02 -6.8715314786e-03 1.9579509187e+03
1.3056124280e-03 4.1430735689e-02 2.0690281935e-02 -6.5687970450e-01 9.6734172319e-03 1.9579508176e+03
-1.2207221032e-02 -3.8736928163e-01 -1.6553398742e-02 5.2554101064e-01 -1.3572744331e-02 1.9579508193e+03
7.4723332354e-03 2.3711804838e-01 4.1209178141e-04 -1.3083182486e-02 1.8426791340e-02 1.9579509138e+03
-3.4939054085e-03 -1.1087139806e-01 5.1736188525e-03 -1.6425321419e-01 -1.2692481739e-02 1.9579509182e+03
-1.1312279983e-02 -3.5897029922e-01 -1.5501126037e-02 4.9213322290e-01 2.8820498067e-03 1.9579508334e+03
-1.6642146611e-02 -5.2810187622e-01 -1.6033545626e-02 5.0903659380e-01 5.9187094920e-03 1.9579507908e+03
9.1338153836e-03 2.8984152670e-01 2.8743071915e-03 -9.1254150450e-02 -4.6502591026e-03 1.9579509046e+03
7.4464841047e-03 0.0000000000e+00 -4.2124511682e-03 0.0000000000e+00 -2.0698146717e-02 1.9579509282e+03
2.7235267502e-03 0.0000000000e+00 2.3252154428e-03 0.0000000000e+00 -1.6397447656e-02 1.9579509282e+03
1.0396282007e-02 3.2990312144e-01 -1.4207410094e-02 4.5106004101e-01 -2.3378514558e-03 1.9579508484e+03
5.5530077170e-03 1.7621247783e-01 1.2079503199e-03 -3.8350278279e-02 6.2933836128e-03 1.9579509199e+03
7.0509930892e-03 2.2374774619e-01 2.9265823726e-03 -9.2913794846e-02 1.0559145530e-02 1.9579509132e+03
3.0889285982e-03 9.8020347697e-02 -2.0979969240e-02 6.6607676105e-01 -6.4713439249e-03 1.9579508124e+03
3.9747175559e-03 1.2612891336e-01 -3.9750177523e-03 1.2619975712e-01 3.0538371578e-03 1.9579509201e+03
8.9978230366e-03 2.8552610772e-01 -8.5886326639e-03 2.7267383818e-01 6.2405627067e-04 1.9579508884e+03
-8.4271447637e-03 -2.6741688844e-01 1.0553659658e-02 -3.3505995578e-01 -1.0239350836e-02 1.9579508813e+03
3.8272921888e-03 1.2145069010e-01 -2.1964501181e-02 6.9733389938e-01 3.9464055976e-03 1.9579508002e+03
1.8014460901e-03 5.7164926813e-02 -1.8446943125e-03 5.8565769784e-02 -4.4702751417e-03 1.9579509265e+03
-1.7548615679e-03 -5.5686669037e-02 -1.1787632531e-02 3.7423640455e-01 2.1398304076e-02 1.9579508916e+03
-6.4950347498e-03 -2.0610563138e-01 -7.7491348401e-03 2.4602127363e-01 -4.5214835161e-03 1.9579509019e+03
-7.9583820871e-03 -2.5254173648e-01 -1.1712561506e-02 3.7185303133e-01 5.3540666274e-03 1.9579508766e+03
1.2145441649e-02 3.8540885520e-01 5.2571083480e-03 -1.6690385596e-01 2.3678931830e-04 1.9579508831e+03
6.1311382975e-04 1.9455817799e-02 1.1730863288e-02 -3.7243408196e-01 -2.2415181409e-03 1.9579508927e+03
9.8930773511e-03 3.1393503299e-01 -6.6402069432e-03 2.1081478111e-01 -1.4741236192e-02 1.9579508917e+03
3.0907249708e-03 0.0000000000e+00 1.9552496033e-03 0.0000000000e+00 -1.9322046458e-02 1.9579509282e+03
6.2817832356e-03 1.9933856421e-01 6.6578994681e-03 -2.1137648817e-01 6.2800641606e-03 1.9579509066e+03
6.3040918245e-03 2.0004647684e-01 1.2094679648e-02 -3.8398460425e-01 -7.6413615210e-03 1.9579508803e+03
-1.1743095899e-02 -3.7264128873e-01 -2.0901677603e-02 6.6359113518e-01 -5.6544244965e-03 1.9579507803e+03
-8.0670554557e-03 -2.5599024826e-01 -6.1190659206e-03 1.9426947940e-01 7.1622889716e-03 1.9579509018e+03
-2.9051934246e-02 -9.2189913953e-01 5.5035457300e-03 -1.7472779727e-01 2.1854362518e-02 1.9579507034e+03
1.9377302935e-02 6.1489604411e-01 -6.2326916283e-03 1.9787688984e-01 -1.3009093931e-02 1.9579508216e+03
1.5054997849e-02 4.7773720453e-01 1.8135233463e-02 -5.7576144864e-01 1.9545659753e-03 1.9579507853e+03
1.8440295295e-02 5.8516216952e-01 -8.9182484706e-03 2.8313854989e-01 7.7557910415e-03 1.9579508203e+03
1.0195542370e-02 3.2353309537e-01 2.7004704004e-04 -8.5735140882e-03 1.4290450311e-02 1.9579509014e+03
-8.0045144484e-04 -2.5400564786e-02 -7.2996617197e-03 2.3175130077e-01 9.8372362743e-03 1.9579509143e+03
7.4382086175e-04 2.3603517663e-02 -1.3828715660e-02 4.3903716859e-01 6.3412922932e-03 1.9579508788e+03
1.2145798826e-02 0.0000000000e+00 -3.6725761527e-03 0.0000000000e+00 -1.5498998381e-02 1.9579509282e+03
4.0311965604e-03 1.2792115007e-01 6.1251947067e-03 -1.9446405810e-01 -2.5591683067e-03 1.9579509144e+03
-1.4904351677e-03 -4.7295677859e-02 -2.4458451238e-02 7.7651237868e-01 1.5428081407e-02 1.9579507736e+03
-1.4927972652e-02 -4.7370634998e-01 -3.4626636826e-04 1.0993342356e-02 1.5395485918e-03 1.9579508709e+03
-1.6940011155e-02 -5.3755395419e-01 -1.3206629860e-02 4.1928704158e-01 2.4301710121e-04 1.9579508095e+03
-7.6484966323e-03 -2.4270820600e-01 5.2246395494e-04 -1.6587303053e-02 3.5275135974e-03 1.9579509131e+03
5.3915176665e-03 1.7108794476e-01 -1.2595571707e-02 3.9988703772e-01 -1.2140861799e-03 1.9579508799e+03
-6.6981012582e-04 -2.1254950054e-02 8.1627940454e-03 -2.5915421960e-01 -1.0763331121e-02 1.9579509109e+03
1.3583831230e-02 4.3105298197e-01 -8.0095289707e-04 2.5428832360e-02 5.8848582346e-04 1.9579508806e+03
-4.4926324084e-03 -1.4256380119e-01 4.6086056946e-03 -1.4631504943e-01 -8.4072702190e-04 1.9579509175e+03
-9.8946792545e-03 -3.1398586603e-01 6.0095081013e-03 -1.9079121275e-01 -8.1228777304e-03 1.9579508937e+03
6.9269113264e-03 2.1981028432e-01 -5.2142936857e-03 1.6554456754e-01 -1.1200972865e-03 1.9579509089e+03
-5.8180832549e-04 -1.8462406586e-02 9.6230127057e-03 -3.0551356923e-01 -1.6610870771e-03 1.9579509043e+03
-6.8633325870e-03 -2.1779275272e-01 -6.7285225343e-03 2.1361864502e-01 -1.3001922567e-02 1.9579509044e+03
-2.0090041706e-03 -6.3751324773e-02 -1.4791327848e-02 4.6959839545e-01 2.0730531857e-02 1.9579508708e+03
-2.1778932360e-02 -6.9110646214e-01 5.1299806873e-03 -1.6286777497e-01 6.2169067329e-03 1.9579507994e+03
8.4486777138e-03 2.6810018948e-01 -9.7752670289e-03 3.1034737218e-01 8.9854019849e-03 1.9579508852e+03
2.6277677720e-04 8.3386426347e-03 -8.5788388610e-03 2.7236290378e-01 -6.6131234866e-04 1.9579509092e+03
-1.3392066880e-02 -4.2496776179e-01 5.5042812208e-03 -1.7475115542e-01 2.7742933171e-04 1.9579508743e+03
1.6572978040e-02 5.2590697066e-01 -8.0375353693e-03 2.5517747444e-01 8.0739627931e-03 1.9579508409e+03
1.7889246198e-02 5.6767584342e-01 -9.4865085570e-04 3.0117980034e-02 -1.7071458234e-03 1.9579508457e+03
-2.9706043854e-03 -9.4265592062e-02 -9.2336553870e-04 2.9315216721e-02 -2.5439060340e-03 1.9579509257e+03
-1.8344992947e-03 -5.8213797523e-02 9.8040081805e-04 -3.1125985604e-02 -1.8317770288e-03 1.9579509271e+03
1.9425610155e-02 6.1642896792e-01 4.8389927901e-03 -1.5362942709e-01 1.4272186750e-02 1.9579508251e+03
-4.1385001703e-03 -1.3132619387e-01 6.8368233043e-03 -2.1705700260e-01 -2.5460540274e-03 1.9579509118e+03
-1.6978512840e-02 -5.3877572650e-01 -2.2357639031e-05 7.0981533758e-04 4.7292004666e-04 1.9579508541e+03
1.3439589070e-02 0.0000000000e+00 2.2748586333e-03 0.0000000000e+00 -1.7257178709e-02 1.9579509282e+03
2.9606929492e-03 9.3951074433e-02 1.9174993372e-03 -6.0877200055e-02 -9.8721030356e-03 1.9579509250e+03
2.2394158586e-02 7.1062930942e-01 -6.9501556488e-03 2.2065509630e-01 1.9982601832e-03 1.9579507868e+03
9.2591841641e-03 2.9381982901e-01 2.3243671294e-03 -7.3794529813e-02 4.9794224609e-03 1.9579509048e+03
1.0441583171e-03 3.3134065907e-02 -9.1016875940e-03 2.8896242264e-01 2.9092011356e-03 1.9579509066e+03
7.4741966374e-03 2.3717717562e-01 -1.5465025303e-02 4.9098709109e-01 4.5324133814e-03 1.9579508523e+03
1.1101830551e-02 3.5229215536e-01 -2.4306054800e-03 7.7167408641e-02 7.8646368765e-03 1.9579508950e+03
3.4427517327e-03 1.0924814875e-01 -5.2635603665e-03 1.6710869758e-01 1.6480317229e-03 1.9579509180e+03
-1.4930552890e-02 -4.7378822797e-01 -2.5019908321e-03 7.9433766310e-02 9.6204082164e-03 1.9579508693e+03
-3.9416257322e-04 -1.2507881642e-02 -1.1075661677e-02 3.5163259444e-01 -2.7103426826e-03 1.9579508966e+03
-6.4278942348e-03 -2.0397507173e-01 1.7297183376e-02 -5.4915485477e-01 3.9969978806e-03 1.9579508406e+03
