10000
x px y py z pz
  1.904962358e-04 -3.129331589e-10  1.343593361e-03 -7.052225912e-10  7.807751056e-13  2.340826952e-03
 -1.009131237e-03  4.920729157e-10 -6.269668613e-04  4.146838896e-10 -1.757743493e-14  2.340826952e-03
 -8.852119469e-04 -1.241400097e-09  2.224609687e-04  8.873820278e-10  1.509703952e-12  2.340826952e-03
  7.921275081e-04 -7.804375174e-10 -9.765531657e-05  2.006685681e-09 -1.740279995e-12  2.340826952e-03
  3.997096992e-04 -9.647124520e-11  1.516311823e-03  3.196156350e-10 -1.905180765e-13  2.340826952e-03
 -1.187469228e-03  9.437268491e-11 -1.405299687e-04 -4.503172052e-10  8.191684648e-13  2.340826952e-03
  3.098461476e-04  1.327554869e-09 -3.938995847e-05 -9.075291281e-10 -5.731824980e-13  2.340826952e-03
  1.950994466e-04  1.509625183e-09 -9.227660600e-04 -9.452081886e-10  7.277451889e-14  2.340826952e-03
 -8.569272510e-05 -9.782816704e-10 -9.383173056e-04  2.435677560e-10  7.742292913e-13  2.340826952e-03
 -8.916401569e-05 -5.021825167e-10 -1.081649930e-03  3.100995002e-10 -4.660153563e-13  2.340826952e-03
 -7.620391818e-04  4.542544132e-11 -2.634624873e-04 -3.751370596e-10 -2.841981761e-13  2.340826952e-03
 -2.338076516e-04  6.212501877e-11  4.760112998e-04 -2.472032936e-10  7.727475957e-13  2.340826952e-03
  2.383572631e-04 -3.168941144e-10 -5.259033366e-04  1.117514422e-09  4.966107559e-13  2.340826952e-03
 -1.984969663e-04 -4.647222454e-10  3.090159527e-04 -9.816463608e-10 -2.765162652e-13  2.340826952e-03
  1.544918467e-03  5.915973581e-10  1.637241890e-04  1.928936190e-09 -7.068380509e-13  2.340826952e-03
 -9.288720862e-04 -1.740047182e-09 -3.470687459e-04  3.612211248e-10 -1.900265587e-12  2.340826952e-03
 -6.067758529e-04 -1.333647820e-10 -2.517247356e-04 -1.032067146e-10  9.517974409e-13  2.340826952e-03
  8.448723961e-04 -5.715017035e-10 -3.905012005e-04  4.615038530e-10  2.588997505e-13  2.340826952e-03
 -7.188717230e-04 -1.336735566e-09 -1.523783443e-03  1.013604701e-09 -1.053757088e-13  2.340826952e-03
 -2.705671295e-05 -8.544572962e-10  7.734847465e-04  7.898218622e-10  7.718312106e-13  2.340826952e-03
  2.502648437e-05 -2.819952516e-09 -9.468849291e-04 -8.376446919e-11  1.043238553e-12  2.340826952e-03
 -3.339445321e-04 -9.856260369e-10 -4.257267306e-04 -1.147780316e-09  8.715062862e-13  2.340826952e-03
  9.566264706e-04  4.027188141e-10  1.555525650e-04  2.115099314e-09 -9.163639320e-13  2.340826952e-03
  1.483015681e-04 -9.698783384e-10  4.642751949e-04 -1.273373321e-09 -7.816298924e-13  2.340826952e-03
 -5.607794498e-04 -7.426113669e-10 -7.529387305e-04 -1.084378383e-09  4.116605825e-13  2.340826952e-03
 -1.695937527e-04 -2.304274463e-09 -1.936938383e-04 -5.743684114e-11 -1.663676098e-13  2.340826952e-03
 -9.696265372e-04  3.883810159e-10 -3.280700793e-05  9.740507291e-10  5.946411859e-13  2.340826952e-03
  5.093673115e-04 -7.792043189e-10  1.804331189e-04 -7.350256188e-10  5.697103284e-13  2.340826952e-03
  1.554392396e-04 -2.203737687e-10  1.328203804e-04  6.792479024e-11 -7.193986802e-13  2.340826952e-03
 -1.145099076e-03  4.651138899e-10  1.439139740e-04 -9.751485413e-10  5.878664231e-13  2.340826952e-03
 -1.022752108e-04  5.859492993e-10  2.785495522e-04 -6.196328669e-10  7.761396289e-14  2.340826952e-03
 -3.494578129e-04  3.371340725e-10 -2.856323838e-04 -6.666527287e-10 -1.396276097e-12  2.340826952e-03
  1.248365834e-03  4.449610078e-10 -5.965798269e-04 -1.344723591e-09  9.112149104e-13  2.340826952e-03
  1.315870156e-03  1.547211913e-10 -3.545185436e-04  4.752774765e-10 -1.395282471e-12  2.340826952e-03
  3.733597993e-04  5.635238583e-10  1.048989176e-03 -4.335010400e-12 -6.116982783e-13  2.340826952e-03
  4.305657393e-06 -7.912410086e-10 -1.225894717e-04  1.195957764e-09 -4.954860304e-13  2.340826952e-03
  1.197325633e-04  8.032207092e-10 -8.278175772e-04  9.766422888e-10 -5.637396090e-13  2.340826952e-03
 -1.337643884e-04 -4.899257715e-10  2.486807261e-04  6.878709307e-10  2.208945049e-12  2.340826952e-03
  4.271636881e-04 -1.303950958e-09  3.757905950e-04  1.845923292e-09 -1.084799708e-13  2.340826952e-03
  4.417022495e-04  5.339201987e-10 -1.213567035e-03 -4.921053689e-10 -1.064381439e-12  2.340826952e-03
  8.003399773e-04  6.334146691e-10 -4.844599918e-04 -1.835692985e-10 -1.821294703e-13  2.340826952e-03
 -1.167003120e-03 -6.418692553e-10 -1.563195098e-04  4.849448349e-10 -5.739290521e-13  2.340826952e-03
  1.095690303e-03 -1.272373099e-09  7.983625914e-04  5.897760140e-10  8.590162508e-13  2.340826952e-03
  1.019135251e-04 -7.692779927e-10  2.708420765e-04 -1.905571040e-10 -7.592710754e-13  2.340826952e-03
