1000
x px y py z pz
1.2047452413e-03 1.1869478435e+00 4.1146170973e-04 -2.8974298216e-01 -1.6116790530e-03 1.9428843540e+02
7.5929722430e-05 3.3663193564e-01 -9.7044130145e-04 1.2229859154e+00 -1.7397467254e-03 1.9626081795e+02
1.8915229563e-03 -9.4164438458e-02 -5.2395144482e-04 1.5116530661e-01 -2.6790487582e-03 1.9662181666e+02
-1.7415808159e-03 1.0178054081e+00 5.5731044835e-04 -8.0509547306e-01 -1.9208466626e-03 1.9605949874e+02
4.6340898835e-04 2.9918654490e-01 4.5590129155e-04 -9.2609432494e-01 -1.6678036608e-03 1.9513085546e+02
5.1118580663e-04 5.4245188789e-01 -1.0630905258e-03 -5.3622132917e-01 -1.7357484283e-03 1.9613734784e+02
3.9372371559e-04 -8.2402577513e-01 -1.9987827905e-03 -1.0302724411e+00 -1.6641341736e-03 1.9824248390e+02
2.0444160419e-03 -1.4306012770e+00 -3.9095872251e-04 1.2190682796e+00 -1.9364597429e-03 1.9620697368e+02
9.8403973367e-04 -1.5571216762e+00 -1.6296110506e-03 1.6425895998e-01 -2.5923845190e-03 1.9511453598e+02
6.8385151283e-04 8.7625422867e-01 -6.1213454220e-04 7.3468143152e-01 -2.2837721038e-03 1.9635424941e+02
-1.4987950595e-03 -3.4801217279e-01 8.2202798924e-04 -2.2758854613e-01 -1.8412140419e-03 1.9528899083e+02
-5.7244624908e-04 -4.2391554213e-01 -2.3024779919e-03 2.8926990281e-01 -2.0475845322e-03 1.9588569121e+02
-3.5967225081e-04 -1.4951956382e+00 9.7335293329e-04 2.0623595068e+00 -2.1012266635e-03 1.9770629443e+02
1.0371596547e-03 6.3948279777e-01 4.1253886965e-04 -8.7851746636e-01 -1.7739843903e-03 1.9759928053e+02
-4.8398225203e-04 -1.2564471241e-01 1.4151921681e-03 1.9381011644e-02 -1.5102536794e-03 1.9631924236e+02
-2.1370360179e-03 -9.0256910138e-01 -8.1643000136e-04 8.4305284155e-01 -1.8814867708e-03 1.9700415703e+02
5.1287207603e-04 2.7081280865e+00 -4.8231451118e-05 -2.3988306180e-01 -1.9104425671e-03 1.9665019390e+02
1.0115728879e-03 8.5336931990e-01 -8.2675079598e-04 8.6854189308e-02 -2.2092218927e-03 1.9616523553e+02
-4.9503299826e-04 -2.3290853005e-01 -7.2335662745e-04 3.0123111983e-01 -1.6654934213e-03 1.9751735719e+02
