Problem size:
            MT: 16
            MX: 16
            MY: 16
            NP: 10000

                  num Nodes   CPU tot  Wall tot
===============================================
mainTimer...........      1      70.4     70.71

                  num Nodes   CPU max  Wall max   CPU min  Wall min   CPU avg  Wall avg
=======================================================================================
mainTimer...........      1      70.4     70.71      70.4     70.71      70.4     70.71
Binaryrepart........      1         0         0         0         0         0         0
Boundingbox.........      1      0.52    0.4718      0.52    0.4718      0.52    0.4718
Boundingbox-bounds..      1      0.19    0.2063      0.19    0.2063      0.19    0.2063
Boundingbox-update..      1       0.3    0.2343       0.3    0.2343       0.3    0.2343
Compute Statistics..      1      6.58     7.085      6.58     7.085      6.58     7.085
ComputePotential....      1     10.05     9.976     10.05     9.976     10.05     9.976
Create Distr........      1         0  0.004711         0  0.004711         0  0.004711
External field eval.      1     38.07     37.39     38.07     37.39     38.07     37.39
Fast inside test....      1         0         0         0         0         0         0
Histogram...........      1         0         0         0         0         0         0
Initialize geometry.      1         0         0         0         0         0         0
Inside test.........      1         0         0         0         0         0         0
Load Distr..........      1         0         0         0         0         0         0
Particle Inside.....      1         0         0         0         0         0         0
Ray tracing.........      1         0         0         0         0         0         0
SelfField total.....      1     18.32     18.71     18.32     18.71     18.32     18.71
SF: GreensFTotal....      1      6.21     6.185      6.21     6.185      6.21     6.185
TIntegration1.......      1      0.56    0.5902      0.56    0.5902      0.56    0.5902
TIntegration2.......      1      1.66     1.541      1.66     1.541      1.66     1.541
WakeField...........      1         0         0         0         0         0         0
Write H5-File.......      1      0.01    0.0035      0.01    0.0035      0.01    0.0035
Write Stat..........      1       1.4     1.478       1.4     1.478       1.4     1.478
