10000
x px y py z pz
  5.107129688e-05 -3.220004534e-10  3.557805905e-04 -7.001496135e-10  7.872736346e-13  1.387990113e+01
 -2.688293625e-04  4.830056212e-10 -1.697021354e-04  4.197568673e-10 -1.107890600e-14  1.387990113e+01
 -2.357842185e-04 -1.250467391e-09  5.681195256e-05  8.924550055e-10  1.516202481e-12  1.387990113e+01
  2.115063028e-04 -7.895048119e-10 -2.855239017e-05  2.011758659e-09 -1.733781466e-12  1.387990113e+01
  1.068615538e-04 -1.055385397e-10  4.018388471e-04  3.246886127e-10 -1.840195476e-13  1.387990113e+01
 -3.163861602e-04  8.530539043e-11 -3.998563074e-05 -4.452442275e-10  8.256669937e-13  1.387990113e+01
  8.289794003e-05  1.318487574e-09 -1.301496135e-05 -9.024561504e-10 -5.666839691e-13  1.387990113e+01
  5.229881977e-05  1.500557888e-09 -2.485819217e-04 -9.401352109e-10  7.927304781e-14  1.387990113e+01
 -2.257909269e-05 -9.873489649e-10 -2.527289206e-04  2.486407337e-10  7.807278202e-13  1.387990113e+01
 -2.350477018e-05 -5.112498112e-10 -2.909509538e-04  3.151724779e-10 -4.595168274e-13  1.387990113e+01
 -2.029381478e-04  3.635814684e-11 -7.276763570e-05 -3.700640819e-10 -2.776996471e-13  1.387990113e+01
 -6.207640642e-05  5.305772429e-11  1.244253742e-04 -2.421303159e-10  7.792461246e-13  1.387990113e+01
  6.383423751e-05 -3.259614089e-10 -1.427518622e-04  1.122587399e-09  5.031092848e-13  1.387990113e+01
 -5.266022367e-05 -4.737895399e-10  7.989328164e-05 -9.765733831e-10 -2.700177363e-13  1.387990113e+01
  4.122505586e-04  5.825300636e-10  4.114881132e-05  1.934009167e-09 -7.003395220e-13  1.387990113e+01
 -2.474269223e-04 -1.749114476e-09 -9.506263799e-05  3.662941025e-10 -1.893767058e-12  1.387990113e+01
 -1.615345934e-04 -1.424320765e-10 -6.963756859e-05 -9.813373688e-11  9.582959699e-13  1.387990113e+01
  2.255716063e-04 -5.805689980e-10 -1.066446259e-04  4.665768307e-10  2.653982794e-13  1.387990113e+01
 -1.914268255e-04 -1.345802861e-09 -4.088532238e-04  1.018677679e-09 -9.887717992e-14  1.387990113e+01
 -6.942822779e-06 -8.635245907e-10  2.037516267e-04  7.948948399e-10  7.783297395e-13  1.387990113e+01
  6.946029840e-06 -2.829019811e-09 -2.550136202e-04 -7.869149149e-11  1.049737082e-12  1.387990113e+01
 -8.877957454e-05 -9.946933314e-10 -1.160381006e-04 -1.142707339e-09  8.780048151e-13  1.387990113e+01
  2.553726928e-04  3.936515196e-10  3.896971159e-05  2.120172292e-09 -9.098654031e-13  1.387990113e+01
  3.981938550e-05 -9.789456329e-10  1.212957462e-04 -1.268300343e-09 -7.751313635e-13  1.387990113e+01
 -1.492688859e-04 -7.516786613e-10 -2.032946339e-04 -1.079305405e-09  4.181591114e-13  1.387990113e+01
 -4.495270005e-05 -2.313341757e-09 -5.416266264e-05 -5.236386343e-11 -1.598690809e-13  1.387990113e+01
 -2.582947759e-04  3.793137214e-10 -1.125950787e-05  9.791237068e-10  6.011397148e-13  1.387990113e+01
  1.361035837e-04 -7.882716134e-10  4.560452596e-05 -7.299526411e-10  5.762088573e-13  1.387990113e+01
  4.172276457e-05 -2.294410632e-10  3.290779569e-05  7.299776794e-11 -7.129001513e-13  1.387990113e+01
 -3.050874530e-04  4.560465954e-10  3.586608731e-05 -9.700755636e-10  5.943649520e-13  1.387990113e+01
 -2.700108888e-05  5.768820048e-10  7.176890816e-05 -6.145598892e-10  8.411249182e-14  1.387990113e+01
 -9.291644944e-05  3.280667780e-10 -7.867960809e-05 -6.615797509e-10 -1.389777568e-12  1.387990113e+01
  3.331698564e-04  4.358937134e-10 -1.615989263e-04 -1.339650613e-09  9.177134393e-13  1.387990113e+01
  3.511710088e-04  1.456538968e-10 -9.704925072e-05  4.803504542e-10 -1.388783942e-12  1.387990113e+01
  9.983491382e-05  5.544565639e-10  2.772194744e-04  7.379673076e-13 -6.051997493e-13  1.387990113e+01
  1.420475979e-06 -8.003083031e-10 -3.520149821e-05  1.201030741e-09 -4.889875014e-13  1.387990113e+01
  3.220098422e-05  7.941534147e-10 -2.232623263e-04  9.817152665e-10 -5.572410801e-13  1.387990113e+01
 -3.539820290e-05 -4.989930660e-10  6.380388788e-05  6.929439084e-10  2.215443578e-12  1.387990113e+01
