Problem size:
            NP: 10000

                  num Nodes   CPU tot  Wall tot
===============================================
mainTimer...........      1      2.34     2.353

                  num Nodes   CPU max  Wall max   CPU min  Wall min   CPU avg  Wall avg
=======================================================================================
mainTimer...........      1      2.34     2.353      2.34     2.353      2.34     2.353
Binaryrepart........      1         0         0         0         0         0         0
Boundingbox.........      1         0 4.321e-05         0 4.321e-05         0 4.321e-05
Boundingbox-bounds..      1         0 1.354e-05         0 1.354e-05         0 1.354e-05
Boundingbox-update..      1         0 1.621e-05         0 1.621e-05         0 1.621e-05
Compute Statistics..      1         0   0.02136         0   0.02136         0   0.02136
Create Distr........      1      0.02   0.02318      0.02   0.02318      0.02   0.02318
External field eval.      1         2     2.034         2     2.034         2     2.034
Fast inside test....      1         0         0         0         0         0         0
Histogram...........      1         0         0         0         0         0         0
Initialize geometry.      1         0         0         0         0         0         0
Inside test.........      1         0         0         0         0         0         0
Load Distr..........      1         0         0         0         0         0         0
Particle Inside.....      1         0         0         0         0         0         0
Ray tracing.........      1         0         0         0         0         0         0
SelfField total.....      1         0         0         0         0         0         0
TIntegration1.......      1      0.05   0.03302      0.05   0.03302      0.05   0.03302
TIntegration2.......      1      0.09    0.0861      0.09    0.0861      0.09    0.0861
WakeField...........      1         0         0         0         0         0         0
Write H5-File.......      1      0.01  0.001844      0.01  0.001844      0.01  0.001844
Write Stat..........      1      0.02   0.01791      0.02   0.01791      0.02   0.01791
